svgs2k	HandSvgs	hvgs	svgs
ENSG00000113013	ENSG00000125743	ENSG00000125743	ENSG00000113013
ENSG00000105254	ENSG00000181409	ENSG00000181409	ENSG00000105254
ENSG00000213465	ENSG00000266964	ENSG00000266964	ENSG00000213465
ENSG00000134324	ENSG00000160213	ENSG00000160213	ENSG00000134324
ENSG00000146352	ENSG00000125971	ENSG00000125971	ENSG00000146352
ENSG00000182916	ENSG00000122566	ENSG00000122566	ENSG00000182916
ENSG00000196104	ENSG00000109339	ENSG00000109339	ENSG00000196104
ENSG00000144283	ENSG00000198053	ENSG00000198053	ENSG00000144283
ENSG00000125124	ENSG00000105185	ENSG00000105185	ENSG00000125124
ENSG00000134884	ENSG00000198822	ENSG00000198822	ENSG00000134884
ENSG00000126267	ENSG00000283103	ENSG00000283103	ENSG00000126267
ENSG00000115756	ENSG00000166140	ENSG00000166140	ENSG00000115756
ENSG00000103260	ENSG00000084453	ENSG00000084453	ENSG00000103260
ENSG00000106682	ENSG00000120162	ENSG00000120162	ENSG00000106682
ENSG00000142192	ENSG00000157985	ENSG00000157985	ENSG00000142192
ENSG00000104093	ENSG00000243509	ENSG00000243509	ENSG00000104093
ENSG00000114353	ENSG00000248473	ENSG00000248473	ENSG00000114353
ENSG00000158828	ENSG00000034713	ENSG00000034713	ENSG00000158828
ENSG00000102144	ENSG00000185088	ENSG00000185088	ENSG00000102144
ENSG00000105767	ENSG00000135905	ENSG00000135905	ENSG00000105767
ENSG00000103769	ENSG00000114315	ENSG00000114315	ENSG00000103769
ENSG00000172247	ENSG00000204387	ENSG00000204387	ENSG00000172247
ENSG00000089009	ENSG00000138698	ENSG00000138698	ENSG00000089009
ENSG00000183648	ENSG00000108830	ENSG00000108830	ENSG00000183648
ENSG00000108424	ENSG00000011198	ENSG00000011198	ENSG00000108424
ENSG00000180834	ENSG00000187164	ENSG00000187164	ENSG00000180834
ENSG00000092841	ENSG00000151012	ENSG00000151012	ENSG00000092841
ENSG00000100316	ENSG00000111843	ENSG00000111843	ENSG00000100316
ENSG00000130770	ENSG00000185201	ENSG00000185201	ENSG00000130770
ENSG00000120129	ENSG00000147027	ENSG00000147027	ENSG00000120129
ENSG00000072071	ENSG00000173141	ENSG00000173141	ENSG00000072071
ENSG00000089818	ENSG00000165507	ENSG00000165507	ENSG00000089818
ENSG00000138834	ENSG00000136867	ENSG00000136867	ENSG00000138834
ENSG00000182985	ENSG00000143977	ENSG00000143977	ENSG00000182985
ENSG00000109956	ENSG00000110400	ENSG00000110400	ENSG00000109956
ENSG00000086065	ENSG00000154945	ENSG00000154945	ENSG00000086065
ENSG00000114573	ENSG00000111328	ENSG00000111328	ENSG00000114573
ENSG00000129596	ENSG00000075618	ENSG00000075618	ENSG00000129596
ENSG00000164754	ENSG00000180834	ENSG00000180834	ENSG00000164754
ENSG00000185046	ENSG00000254505	ENSG00000254505	ENSG00000185046
ENSG00000204463	ENSG00000171551	ENSG00000171551	ENSG00000204463
ENSG00000164258	ENSG00000122033	ENSG00000122033	ENSG00000164258
ENSG00000107105	ENSG00000185043	ENSG00000185043	ENSG00000107105
ENSG00000122873	ENSG00000154310	ENSG00000154310	ENSG00000122873
ENSG00000172757	ENSG00000130066	ENSG00000130066	ENSG00000172757
ENSG00000073910	ENSG00000104267	ENSG00000104267	ENSG00000073910
ENSG00000163644	ENSG00000144674	ENSG00000144674	ENSG00000163644
ENSG00000203667	ENSG00000175550	ENSG00000175550	ENSG00000203667
ENSG00000048540	ENSG00000121410	ENSG00000121410	ENSG00000048540
ENSG00000113712	ENSG00000129515	ENSG00000129515	ENSG00000113712
ENSG00000164733	ENSG00000233593	ENSG00000233593	ENSG00000164733
ENSG00000187109	ENSG00000167460	ENSG00000167460	ENSG00000187109
ENSG00000078902	ENSG00000154856	ENSG00000154856	ENSG00000078902
ENSG00000142864	ENSG00000181826	ENSG00000181826	ENSG00000142864
ENSG00000149273	ENSG00000155368	ENSG00000155368	ENSG00000149273
ENSG00000121774	ENSG00000096746	ENSG00000096746	ENSG00000121774
ENSG00000114391	ENSG00000170860	ENSG00000170860	ENSG00000114391
ENSG00000120251	ENSG00000169738	ENSG00000169738	ENSG00000120251
ENSG00000101019	ENSG00000176595	ENSG00000176595	ENSG00000101019
ENSG00000100664	ENSG00000065361	ENSG00000065361	ENSG00000100664
ENSG00000138593	ENSG00000122862	ENSG00000122862	ENSG00000138593
ENSG00000163682	ENSG00000170889	ENSG00000170889	ENSG00000163682
ENSG00000166913	ENSG00000119139	ENSG00000119139	ENSG00000166913
ENSG00000156976	ENSG00000267673	ENSG00000267673	ENSG00000156976
ENSG00000142534	ENSG00000196091	ENSG00000196091	ENSG00000142534
ENSG00000164176	ENSG00000167614	ENSG00000167614	ENSG00000164176
ENSG00000012171	ENSG00000146005	ENSG00000146005	ENSG00000012171
ENSG00000111726	ENSG00000136750	ENSG00000136750	ENSG00000111726
ENSG00000213760	ENSG00000132002	ENSG00000132002	ENSG00000213760
ENSG00000221890	ENSG00000120686	ENSG00000120686	ENSG00000221890
ENSG00000130522	ENSG00000026652	ENSG00000026652	ENSG00000130522
ENSG00000187957	ENSG00000042445	ENSG00000042445	ENSG00000187957
ENSG00000129422	ENSG00000099282	ENSG00000099282	ENSG00000129422
ENSG00000105404	ENSG00000079435	ENSG00000079435	ENSG00000105404
ENSG00000144834	ENSG00000166012	ENSG00000166012	ENSG00000144834
ENSG00000101079	ENSG00000063180	ENSG00000063180	ENSG00000101079
ENSG00000241360	ENSG00000181350	ENSG00000181350	ENSG00000241360
ENSG00000068078	ENSG00000031823	ENSG00000031823	ENSG00000068078
ENSG00000119013	ENSG00000006015	ENSG00000006015	ENSG00000119013
ENSG00000102109	ENSG00000163344	ENSG00000163344	ENSG00000102109
ENSG00000058091	ENSG00000123595	ENSG00000123595	ENSG00000058091
ENSG00000175426	ENSG00000152558	ENSG00000152558	ENSG00000175426
ENSG00000227051	ENSG00000185985	ENSG00000185985	ENSG00000227051
ENSG00000090861	ENSG00000107798	ENSG00000107798	ENSG00000090861
ENSG00000124614	ENSG00000177105	ENSG00000177105	ENSG00000124614
ENSG00000125827	ENSG00000272573	ENSG00000272573	ENSG00000125827
ENSG00000101958	ENSG00000181915	ENSG00000181915	ENSG00000101958
ENSG00000087085	ENSG00000147488	ENSG00000147488	ENSG00000087085
ENSG00000100442	ENSG00000175701	ENSG00000175701	ENSG00000100442
ENSG00000126214	ENSG00000137876	ENSG00000137876	ENSG00000126214
ENSG00000254772	ENSG00000099219	ENSG00000099219	ENSG00000254772
ENSG00000117519	ENSG00000138448	ENSG00000138448	ENSG00000117519
ENSG00000064787	ENSG00000108840	ENSG00000108840	ENSG00000064787
ENSG00000119048	ENSG00000172586	ENSG00000172586	ENSG00000119048
ENSG00000061676	ENSG00000108312	ENSG00000108312	ENSG00000061676
ENSG00000136888	ENSG00000178449	ENSG00000178449	ENSG00000136888
ENSG00000167792	ENSG00000140905	ENSG00000140905	ENSG00000167792
ENSG00000184368	ENSG00000101347	ENSG00000101347	ENSG00000184368
ENSG00000188191	ENSG00000177225	ENSG00000177225	ENSG00000188191
ENSG00000160007	ENSG00000154734	ENSG00000154734	ENSG00000160007
ENSG00000135250	ENSG00000114115	ENSG00000114115	ENSG00000135250
ENSG00000175868	ENSG00000099783	ENSG00000099783	ENSG00000175868
ENSG00000167775	ENSG00000104529	ENSG00000104529	ENSG00000167775
ENSG00000136930	ENSG00000185608	ENSG00000185608	ENSG00000136930
ENSG00000159202	ENSG00000105619	ENSG00000105619	ENSG00000159202
ENSG00000157827	ENSG00000269293	ENSG00000269293	ENSG00000157827
ENSG00000272888	ENSG00000170584	ENSG00000170584	ENSG00000272888
ENSG00000108309	ENSG00000103496	ENSG00000103496	ENSG00000108309
ENSG00000107897	ENSG00000143384	ENSG00000143384	ENSG00000107897
ENSG00000127022	ENSG00000101972	ENSG00000101972	ENSG00000127022
ENSG00000075785	ENSG00000188706	ENSG00000188706	ENSG00000075785
ENSG00000132294	ENSG00000130787	ENSG00000130787	ENSG00000132294
ENSG00000177807	ENSG00000079805	ENSG00000079805	ENSG00000177807
ENSG00000137486	ENSG00000189266	ENSG00000189266	ENSG00000137486
ENSG00000197894	ENSG00000198034	ENSG00000198034	ENSG00000197894
ENSG00000198363	ENSG00000169908	ENSG00000169908	ENSG00000198363
ENSG00000148826	ENSG00000129353	ENSG00000129353	ENSG00000148826
ENSG00000105193	ENSG00000141447	ENSG00000141447	ENSG00000105193
ENSG00000022267	ENSG00000153707	ENSG00000153707	ENSG00000022267
ENSG00000117640	ENSG00000135766	ENSG00000135766	ENSG00000117640
ENSG00000164111	ENSG00000171421	ENSG00000171421	ENSG00000164111
ENSG00000168824	ENSG00000102144	ENSG00000102144	ENSG00000168824
ENSG00000114631	ENSG00000067113	ENSG00000067113	ENSG00000114631
ENSG00000125648	ENSG00000072952	ENSG00000072952	ENSG00000125648
ENSG00000138071	ENSG00000089472	ENSG00000089472	ENSG00000138071
ENSG00000198830	ENSG00000243678	ENSG00000243678	ENSG00000198830
ENSG00000139637	ENSG00000108826	ENSG00000108826	ENSG00000139637
ENSG00000128739	ENSG00000105643	ENSG00000105643	ENSG00000128739
ENSG00000105518	ENSG00000133142	ENSG00000133142	ENSG00000105518
ENSG00000123416	ENSG00000106991	ENSG00000106991	ENSG00000123416
ENSG00000272325	ENSG00000176971	ENSG00000176971	ENSG00000272325
ENSG00000111678	ENSG00000123119	ENSG00000123119	ENSG00000111678
ENSG00000007080	ENSG00000275832	ENSG00000275832	ENSG00000007080
ENSG00000124140	ENSG00000198763	ENSG00000198763	ENSG00000124140
ENSG00000077264	ENSG00000131495	ENSG00000131495	ENSG00000077264
ENSG00000140391	ENSG00000183077	ENSG00000183077	ENSG00000140391
ENSG00000133142	ENSG00000118518	ENSG00000118518	ENSG00000133142
ENSG00000087258	ENSG00000187608	ENSG00000187608	ENSG00000087258
ENSG00000105711	ENSG00000119950	ENSG00000119950	ENSG00000105711
ENSG00000129559	ENSG00000073969	ENSG00000073969	ENSG00000129559
ENSG00000180155	ENSG00000185658	ENSG00000185658	ENSG00000180155
ENSG00000134294	ENSG00000056097	ENSG00000056097	ENSG00000134294
ENSG00000015592	ENSG00000102109	ENSG00000102109	ENSG00000015592
ENSG00000074696	ENSG00000121742	ENSG00000121742	ENSG00000074696
ENSG00000157152	ENSG00000120738	ENSG00000120738	ENSG00000157152
ENSG00000059804	ENSG00000092421	ENSG00000092421	ENSG00000059804
ENSG00000103415	ENSG00000188643	ENSG00000188643	ENSG00000103415
ENSG00000149100	ENSG00000196517	ENSG00000196517	ENSG00000149100
ENSG00000198258	ENSG00000084754	ENSG00000084754	ENSG00000198258
ENSG00000102882	ENSG00000109089	ENSG00000109089	ENSG00000102882
ENSG00000176171	ENSG00000088986	ENSG00000088986	ENSG00000176171
ENSG00000112096	ENSG00000188010	ENSG00000188010	ENSG00000112096
ENSG00000173812	ENSG00000075711	ENSG00000075711	ENSG00000173812
ENSG00000176595	ENSG00000170458	ENSG00000170458	ENSG00000176595
ENSG00000198918	ENSG00000127920	ENSG00000127920	ENSG00000198918
ENSG00000152137	ENSG00000143603	ENSG00000143603	ENSG00000152137
ENSG00000243678	ENSG00000174628	ENSG00000174628	ENSG00000243678
ENSG00000164114	ENSG00000138801	ENSG00000138801	ENSG00000164114
ENSG00000165092	ENSG00000174021	ENSG00000174021	ENSG00000165092
ENSG00000101843	ENSG00000173113	ENSG00000173113	ENSG00000101843
ENSG00000108312	ENSG00000132780	ENSG00000132780	ENSG00000108312
ENSG00000185658	ENSG00000120675	ENSG00000120675	ENSG00000185658
ENSG00000126860	ENSG00000126214	ENSG00000126214	ENSG00000126860
ENSG00000010282	ENSG00000204287	ENSG00000204287	ENSG00000010282
ENSG00000162545	ENSG00000198832	ENSG00000198832	ENSG00000162545
ENSG00000106299	ENSG00000164904	ENSG00000164904	ENSG00000106299
ENSG00000136271	ENSG00000246705	ENSG00000246705	ENSG00000136271
ENSG00000198408	ENSG00000105379	ENSG00000105379	ENSG00000198408
ENSG00000129625	ENSG00000110315	ENSG00000110315	ENSG00000129625
ENSG00000116793	ENSG00000064042	ENSG00000064042	ENSG00000116793
ENSG00000130787	ENSG00000165323	ENSG00000165323	ENSG00000130787
ENSG00000130638	ENSG00000226496	ENSG00000226496	ENSG00000130638
ENSG00000145293	ENSG00000129422	ENSG00000129422	ENSG00000145293
ENSG00000077254	ENSG00000162444	ENSG00000162444	ENSG00000077254
ENSG00000173258	ENSG00000143353	ENSG00000143353	ENSG00000173258
ENSG00000198794	ENSG00000149932	ENSG00000149932	ENSG00000198794
ENSG00000174469	ENSG00000149212	ENSG00000149212	ENSG00000174469
ENSG00000183011	ENSG00000139343	ENSG00000139343	ENSG00000183011
ENSG00000050748	ENSG00000100142	ENSG00000100142	ENSG00000050748
ENSG00000155093	ENSG00000162664	ENSG00000162664	ENSG00000155093
ENSG00000135924	ENSG00000146072	ENSG00000146072	ENSG00000135924
ENSG00000158747	ENSG00000117614	ENSG00000117614	ENSG00000158747
ENSG00000008056	ENSG00000116584	ENSG00000116584	ENSG00000008056
ENSG00000260804	ENSG00000108106	ENSG00000108106	ENSG00000260804
ENSG00000169032	ENSG00000100697	ENSG00000100697	ENSG00000169032
ENSG00000166411	ENSG00000123159	ENSG00000123159	ENSG00000166411
ENSG00000143222	ENSG00000107796	ENSG00000107796	ENSG00000143222
ENSG00000099622	ENSG00000012983	ENSG00000012983	ENSG00000099622
ENSG00000134375	ENSG00000214026	ENSG00000214026	ENSG00000134375
ENSG00000149294	ENSG00000183979	ENSG00000183979	ENSG00000149294
ENSG00000099814	ENSG00000100225	ENSG00000100225	ENSG00000099814
ENSG00000152332	ENSG00000175061	ENSG00000175061	ENSG00000152332
ENSG00000066322	ENSG00000141905	ENSG00000141905	ENSG00000066322
ENSG00000130429	ENSG00000160194	ENSG00000160194	ENSG00000130429
ENSG00000166503	ENSG00000006831	ENSG00000006831	ENSG00000166503
ENSG00000102931	ENSG00000184014	ENSG00000184014	ENSG00000102931
ENSG00000009307	ENSG00000159128	ENSG00000159128	ENSG00000009307
ENSG00000164096	ENSG00000135525	ENSG00000135525	ENSG00000164096
ENSG00000180488	ENSG00000196338	ENSG00000196338	ENSG00000180488
ENSG00000168090	ENSG00000235453	ENSG00000235453	ENSG00000168090
ENSG00000144746	ENSG00000118298	ENSG00000118298	ENSG00000144746
ENSG00000175581	ENSG00000205927	ENSG00000205927	ENSG00000175581
ENSG00000100364	ENSG00000065600	ENSG00000065600	ENSG00000100364
ENSG00000166448	ENSG00000128245	ENSG00000128245	ENSG00000166448
ENSG00000198892	ENSG00000168899	ENSG00000168899	ENSG00000198892
ENSG00000069275	ENSG00000144749	ENSG00000144749	ENSG00000069275
ENSG00000196776	ENSG00000175581	ENSG00000175581	ENSG00000196776
ENSG00000070087	ENSG00000182253	ENSG00000182253	ENSG00000070087
ENSG00000132718	ENSG00000169085	ENSG00000169085	ENSG00000132718
ENSG00000173402	ENSG00000106829	ENSG00000106829	ENSG00000173402
ENSG00000134644	ENSG00000108774	ENSG00000108774	ENSG00000134644
ENSG00000086289	ENSG00000065518	ENSG00000065518	ENSG00000086289
ENSG00000172354	ENSG00000108239	ENSG00000108239	ENSG00000172354
ENSG00000156298	ENSG00000167315	ENSG00000167315	ENSG00000156298
ENSG00000088833	ENSG00000134508	ENSG00000134508	ENSG00000088833
ENSG00000169862	ENSG00000183255	ENSG00000183255	ENSG00000169862
ENSG00000064042	ENSG00000163319	ENSG00000163319	ENSG00000064042
ENSG00000105640	ENSG00000187601	ENSG00000187601	ENSG00000105640
ENSG00000164587	ENSG00000175756	ENSG00000175756	ENSG00000164587
